Country,Job_title,Rural,Quantity,Percentage
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",urban,1,0.01%
Austria,Unemployed,rural,28,0.34%
Austria,Unemployed,urban,31,0.38%
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,1,0.01%
Belgium,Automatic Data Processing Planner,rural,1,0.01%
Belgium,Automatic Data Processing Planner,urban,1,0.01%
Belgium,Automatic Data Processing Planner (ADP Planner),urban,1,0.01%
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,1,0.01%
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,1,0.01%
Belgium,Clinical Data Associate,rural,3,0.04%
Belgium,Clinical Data Coordinator,urban,1,0.01%
Belgium,Crime Data Specialist,urban,1,0.01%
Belgium,Data Administrator,rural,1,0.01%
Belgium,Data Administrator,urban,2,0.02%
Belgium,Data Architect,rural,1,0.01%
Belgium,Data Architect,urban,2,0.02%
Belgium,Data Base Design Analyst,rural,1,0.01%
Belgium,Data Capture Specialist,urban,1,0.01%
Belgium,Data Collector,urban,1,0.01%
Belgium,Data Communications Analyst,rural,1,0.01%
Belgium,Data Coordinator,urban,1,0.01%
Belgium,Data Entry Associate,urban,1,0.01%
Belgium,Data Entry Representative,rural,1,0.01%
Belgium,Data Entry Specialist,rural,1,0.01%
Belgium,Data Management Associate,urban,1,0.01%
Belgium,Data Management Information Technology Specialist,rural,1,0.01%
Belgium,Data Management Information Technology Specialist,urban,1,0.01%
Belgium,Data Manager,rural,1,0.01%
Belgium,Data Miner,urban,1,0.01%
Belgium,Data Officer,rural,2,0.02%
Belgium,Data Officer,urban,2,0.02%
Belgium,Data Processing Consultant,rural,1,0.01%
Belgium,Data Processing Manager,rural,1,0.01%
Belgium,Data Processing Systems Analyst,urban,2,0.02%
Belgium,Data Processing Systems Project Planner,urban,2,0.02%
Belgium,Data Recovery Planner,rural,1,0.01%
Belgium,Data Scientist,rural,1,0.01%
Belgium,Data Scientist,urban,3,0.04%
Belgium,Data Security Administrator,rural,1,0.01%
Belgium,Data Security Administrator,urban,2,0.02%
Belgium,Data Security Analyst,rural,1,0.01%
Belgium,Data Security Analyst,urban,1,0.01%
Belgium,Data Storage Specialist,urban,1,0.01%
Belgium,Data Systems Manager,rural,1,0.01%
Belgium,Data Warehouse Analyst,urban,1,0.01%
Belgium,Data Warehouse Developer,rural,1,0.01%
Belgium,Data Warehouse Specialist,rural,1,0.01%
Belgium,Data Warehouse Specialist,urban,1,0.01%
Belgium,Data Warehousing Manager,urban,2,0.02%
Belgium,Database Administration Associate,urban,2,0.02%
Belgium,Database Architect,urban,1,0.01%
Belgium,Database Consultant,rural,1,0.01%
Belgium,Database Consultant,urban,1,0.01%
Belgium,Database Coordinator,urban,1,0.01%
Belgium,Database Design Analyst,rural,1,0.01%
Belgium,Database Designer,urban,2,0.02%
Belgium,Database Development and Administration Project Manager,urban,1,0.01%
Belgium,Database Engineer,rural,1,0.01%
Belgium,Database Engineer,urban,2,0.02%
Belgium,Database Management System Specialist (DBMS Specialist),rural,1,0.01%
Belgium,Database Management System Specialist (DBMS Specialist),urban,1,0.01%
Belgium,Database Manager,rural,1,0.01%
Belgium,Database Manager,urban,2,0.02%
Belgium,Database Marketing Analyst,rural,1,0.01%
Belgium,Database Marketing Analyst,urban,1,0.01%
Belgium,Database Security Administrator,urban,1,0.01%
Belgium,Database Software Technician,rural,1,0.01%
Belgium,Database Tester,urban,2,0.02%
Belgium,Director of Data Operations,rural,1,0.01%
Belgium,Director of Data Operations,urban,2,0.02%
Belgium,Electronic Data Processing Auditor (EDP Auditor),rural,1,0.01%
Belgium,Field Artillery Automated Tactical Data System Specialist,rural,1,0.01%
Belgium,Flight Data Technician,urban,1,0.01%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),rural,1,0.01%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),urban,2,0.02%
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,2,0.02%
Belgium,Head of Information Systems and Data Processing,urban,1,0.01%
Belgium,Health Data Analyst,rural,2,0.02%
Belgium,Health Data Analyst,urban,1,0.01%
Belgium,Log Data Technician,rural,1,0.01%
Belgium,Marketing Database Analyst,urban,1,0.01%
Belgium,Medical Data Analyst,rural,1,0.01%
Belgium,Oracle Database Administrator (Oracle DBA),urban,1,0.01%
Belgium,Reference Data Expert,urban,1,0.01%
Belgium,SQL Database Administrator,urban,1,0.01%
Belgium,Unemployed,rural,30,0.36%
Belgium,Unemployed,urban,46,0.56%
Bulgaria,Automatic Data Processing Planner,urban,1,0.01%
Bulgaria,Automatic Data Processing Planner (ADP Planner),urban,1,0.01%
Bulgaria,Business Database Analyst,urban,1,0.01%
Bulgaria,Clinical Data Management Associate Director,urban,1,0.01%
Bulgaria,Clinical Data Manager,urban,1,0.01%
Bulgaria,Computer or Data Processing Systems Consultant,urban,1,0.01%
Bulgaria,Data Abstractor,urban,1,0.01%
Bulgaria,Data Administrator,urban,2,0.02%
Bulgaria,Data Architect,urban,2,0.02%
Bulgaria,Data Base Design Analyst,urban,1,0.01%
Bulgaria,Data Center Manager,urban,1,0.01%
Bulgaria,Data Center Operator,urban,1,0.01%
Bulgaria,Data Communications Analyst,urban,1,0.01%
Bulgaria,Data Compiler,urban,1,0.01%
Bulgaria,Data Control Assistant,urban,1,0.01%
Bulgaria,Data Coordinator,urban,1,0.01%
Bulgaria,Data Management Associate,urban,1,0.01%
Bulgaria,Data Management Information Technology Specialist,rural,1,0.01%
Bulgaria,Data Miner,urban,2,0.02%
Bulgaria,Data Modeling Specialist,urban,1,0.01%
Bulgaria,Data Officer,urban,1,0.01%
Bulgaria,Data Operations Director,urban,1,0.01%
Bulgaria,Data Processing Auditor,rural,1,0.01%
Bulgaria,Data Processing Auditor,urban,1,0.01%
Bulgaria,Data Processing Manager,urban,3,0.04%
Bulgaria,Data Processing Systems Analyst,urban,2,0.02%
Bulgaria,Data Recovery Planner,urban,1,0.01%
Bulgaria,Data Reduction Technician,urban,1,0.01%
Bulgaria,Data Security Administrator,urban,1,0.01%
Bulgaria,Data Security Analyst,urban,1,0.01%
Bulgaria,Data Storage Specialist,urban,1,0.01%
Bulgaria,Data Systems Manager,urban,1,0.01%
Bulgaria,Data Warehouse Architect,urban,3,0.04%
Bulgaria,Data Warehouse Developer,urban,2,0.02%
Bulgaria,Data Warehouse Specialist,urban,5,0.06%
Bulgaria,Data Warehousing Engineer,urban,1,0.01%
Bulgaria,Data Warehousing Specialist,urban,2,0.02%
Bulgaria,Database Administration Associate,urban,2,0.02%
Bulgaria,Database Administration Manager,urban,1,0.01%
Bulgaria,Database Analyst,urban,1,0.01%
Bulgaria,Database Architect,urban,1,0.01%
Bulgaria,Database Consultant,urban,1,0.01%
Bulgaria,Database Coordinator,urban,1,0.01%
Bulgaria,Database Design Analyst,urban,1,0.01%
Bulgaria,Database Designer,urban,2,0.02%
Bulgaria,Database Development Project Manager,urban,1,0.01%
Bulgaria,Database Modeler,urban,2,0.02%
Bulgaria,Database Security Administrator,urban,1,0.01%
Bulgaria,Database Security Expert,urban,1,0.01%
Bulgaria,Database Software Technician,urban,2,0.02%
Bulgaria,Database Tester,rural,1,0.01%
Bulgaria,Database Tester,urban,1,0.01%
Bulgaria,Director of Data Operations,urban,1,0.01%
Bulgaria,Electronic Data Processing Auditor (EDP Auditor),urban,1,0.01%
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",urban,3,0.04%
Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),urban,1,0.01%
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),rural,1,0.01%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,4,0.05%
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,2,0.02%
Bulgaria,Head of Information Systems and Data Processing,urban,3,0.04%
Bulgaria,Internet Database Specialist,urban,4,0.05%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",rural,1,0.01%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",urban,1,0.01%
Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),urban,1,0.01%
Bulgaria,SQL Database Administrator,urban,2,0.02%
Bulgaria,Survey Data Technician,urban,1,0.01%
Bulgaria,Unemployed,rural,6,0.07%
Bulgaria,Unemployed,urban,39,0.47%
Croatia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,1,0.01%
Croatia,Clinical Data Abstractor,urban,1,0.01%
Croatia,Clinical Data Management Associate Director,urban,1,0.01%
Croatia,Computer or Data Processing Systems Consultant,urban,2,0.02%
Croatia,Data Administrator,rural,1,0.01%
Croatia,Data Analysis Assistant,rural,1,0.01%
Croatia,Data Coordinator,rural,1,0.01%
Croatia,Data Entry Associate,urban,1,0.01%
Croatia,Data Management Associate,urban,1,0.01%
Croatia,Data Management Information Technology Specialist,urban,1,0.01%
Croatia,Data Modeling Specialist,urban,1,0.01%
Croatia,Data Officer,urban,1,0.01%
Croatia,Data Operations Director,urban,1,0.01%
Croatia,Data Processing Manager,urban,1,0.01%
Croatia,Data Processing Systems Project Planner,urban,1,0.01%
Croatia,Data Security Administrator,rural,1,0.01%
Croatia,Data Security Administrator,urban,1,0.01%
Croatia,Data Storage Specialist,urban,2,0.02%
Croatia,Data Systems Manager,urban,2,0.02%
Croatia,Data Warehouse Developer,rural,1,0.01%
Croatia,Data Warehouse Specialist,urban,1,0.01%
Croatia,Database Coordinator,urban,1,0.01%
Croatia,Database Design Analyst,urban,2,0.02%
Croatia,Database Designer,urban,1,0.01%
Croatia,Database Engineer,urban,1,0.01%
Croatia,Database Modeler,urban,2,0.02%
Croatia,Database Security Administrator,urban,3,0.04%
Croatia,Database Security Expert,urban,1,0.01%
Croatia,Database Specialist,urban,1,0.01%
Croatia,Database Tester,urban,1,0.01%
Croatia,Electronic Data Interchange System Developer (EDI System Developer),urban,1,0.01%
Croatia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",urban,1,0.01%
Croatia,Geographic Information Systems Data Administrator (GIS Data Administrator),urban,1,0.01%
Croatia,Geographic Information Systems Data Manager (GIS Data Manager),urban,2,0.02%
Croatia,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,2,0.02%
Croatia,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,1,0.01%
Croatia,Head of Information Systems and Data Processing,urban,1,0.01%
Croatia,Internet Database Specialist,urban,2,0.02%
Croatia,"Operations Officer, Afloat (Naval Tactical Data Systems)",urban,1,0.01%
Croatia,Unemployed,rural,11,0.13%
Croatia,Unemployed,urban,27,0.33%
Cyprus,Clinical Trials Data Coordinator,urban,1,0.01%
Cyprus,Data Communications Analyst,urban,1,0.01%
Cyprus,Data Management Associate,urban,1,0.01%
Cyprus,Data Modeling Specialist,urban,1,0.01%
Cyprus,Data Systems Manager,urban,1,0.01%
Cyprus,Data Warehousing Specialist,urban,1,0.01%
Cyprus,Database Administrator (DBA),urban,1,0.01%
Cyprus,Head of Information Systems and Data Processing,urban,1,0.01%
Cyprus,Unemployed,urban,5,0.06%
Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),rural,2,0.02%
Czechia,Automatic Data Processing Planner,urban,2,0.02%
Czechia,Automatic Data Processing Planner (ADP Planner),urban,1,0.01%
Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,1,0.01%
Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,2,0.02%
Czechia,Clinical Data Coordinator,urban,1,0.01%
Czechia,Computer or Data Processing Systems Consultant,rural,1,0.01%
Czechia,Computer or Data Processing Systems Consultant,urban,2,0.02%
Czechia,Data Acquisition Technician,rural,1,0.01%
Czechia,Data Administrator,urban,2,0.02%
Czechia,Data Architect,rural,1,0.01%
Czechia,Data Architect,urban,1,0.01%
Czechia,Data Center Operator,urban,1,0.01%
Czechia,Data Collection Technician,rural,1,0.01%
Czechia,Data Communications Analyst,urban,1,0.01%
Czechia,Data Communications Software Consultant,urban,1,0.01%
Czechia,Data Control Assistant,urban,1,0.01%
Czechia,Data Coordinator,urban,1,0.01%
Czechia,Data Entry Machine Operator,rural,1,0.01%
Czechia,Data Entry Specialist,urban,1,0.01%
Czechia,Data Keyer,urban,1,0.01%
Czechia,Data Management Associate,rural,1,0.01%
Czechia,Data Management Information Technology Specialist,urban,1,0.01%
Czechia,Data Manager,urban,1,0.01%
Czechia,Data Miner,rural,1,0.01%
Czechia,Data Modeling Specialist,urban,2,0.02%
Czechia,Data Officer,urban,4,0.05%
Czechia,Data Operations Director,rural,1,0.01%
Czechia,Data Operations Director,urban,2,0.02%
Czechia,Data Processing Auditor,urban,1,0.01%
Czechia,Data Processing Auxiliary Equipment Operator,urban,1,0.01%
Czechia,Data Processing Equipment Repairer,urban,1,0.01%
Czechia,Data Processing Manager,urban,1,0.01%
Czechia,Data Processing Mechanic,rural,1,0.01%
Czechia,Data Processing Services Sales Representative,urban,1,0.01%
Czechia,Data Processing Systems Analyst,rural,1,0.01%
Czechia,Data Processing Systems Analyst,urban,2,0.02%
Czechia,Data Processing Systems Project Planner,rural,2,0.02%
Czechia,Data Sciences Director,urban,1,0.01%
Czechia,Data Scientist,rural,1,0.01%
Czechia,Data Security Analyst,urban,2,0.02%
Czechia,Data Storage Specialist,rural,2,0.02%
Czechia,Data Storage Specialist,urban,1,0.01%
Czechia,Data Systems Manager,rural,1,0.01%
Czechia,Data Technician,urban,1,0.01%
Czechia,Data Warehouse Analyst,urban,2,0.02%
Czechia,Data Warehouse Architect,rural,1,0.01%
Czechia,Data Warehouse Architect,urban,1,0.01%
Czechia,Data Warehouse Developer,urban,1,0.01%
Czechia,Data Warehousing Engineer,urban,1,0.01%
Czechia,Data Warehousing Manager,urban,2,0.02%
Czechia,Data Warehousing Specialist,urban,1,0.01%
Czechia,Database Administration Associate,urban,1,0.01%
Czechia,Database Administrator (DBA),rural,1,0.01%
Czechia,Database Architect,rural,1,0.01%
Czechia,Database Architect,urban,1,0.01%
Czechia,Database Consultant,urban,3,0.04%
Czechia,Database Coordinator,urban,2,0.02%
Czechia,Database Designer,urban,1,0.01%
Czechia,Database Development Project Manager,rural,1,0.01%
Czechia,Database Development and Administration Project Manager,rural,1,0.01%
Czechia,Database Engineer,rural,1,0.01%
Czechia,Database Engineer,urban,2,0.02%
Czechia,Database Management System Specialist (DBMS Specialist),urban,1,0.01%
Czechia,Database Marketing Analyst,urban,1,0.01%
Czechia,Database Security Administrator,rural,1,0.01%
Czechia,Database Security Administrator,urban,2,0.02%
Czechia,Database Security Expert,urban,2,0.02%
Czechia,Database Software Technician,rural,1,0.01%
Czechia,Database Software Technician,urban,2,0.02%
Czechia,Database Specialist,urban,1,0.01%
Czechia,Database Tester,urban,2,0.02%
Czechia,Databases Computer Consultant,urban,2,0.02%
Czechia,Databases Software Consultant,rural,1,0.01%
Czechia,Director of Data Operations,urban,3,0.04%
Czechia,Electronic Data Processing Auditor (EDP Auditor),urban,1,0.01%
Czechia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",urban,1,0.01%
Czechia,Flight Test Data Acquisition Technician,rural,1,0.01%
Czechia,GPS Field Data Collector (Global Positioning System Field Data Collector),rural,1,0.01%
Czechia,Geographic Information Systems Data Administrator (GIS Data Administrator),urban,1,0.01%
Czechia,Geographic Information Systems Data Manager (GIS Data Manager),urban,1,0.01%
Czechia,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,2,0.02%
Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),rural,1,0.01%
Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,1,0.01%
Czechia,Head of Information Systems and Data Processing,urban,3,0.04%
Czechia,Health Data Analyst,urban,1,0.01%
Czechia,Internet Database Specialist,urban,4,0.05%
Czechia,Maintenance Data Analyst,urban,1,0.01%
Czechia,Marketing Database Analyst,urban,1,0.01%
Czechia,Micro Computer Data Processor,urban,1,0.01%
Czechia,Naval Tactical Data System--Combat Information Center Officer,rural,1,0.01%
Czechia,"Naval Tactical Data System--Combat Information Center Watch Officer, General",urban,1,0.01%
Czechia,Oracle Database Administrator (Oracle DBA),rural,1,0.01%
Czechia,Oracle Database Administrator (Oracle DBA),urban,2,0.02%
Czechia,SCADA Technician (Supervisory Control and Data Acquisition Technician),urban,1,0.01%
Czechia,SQL Database Administrator,urban,1,0.01%
Czechia,Unemployed,rural,23,0.28%
Czechia,Unemployed,urban,36,0.44%
Denmark,Automatic Data Processing Planner,rural,1,0.01%
Denmark,Automatic Data Processing Planner,urban,1,0.01%
Denmark,Automatic Data Processing Planner (ADP Planner),urban,2,0.02%
Denmark,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,1,0.01%
Denmark,Clinical Data Manager,rural,1,0.01%
Denmark,Data Architect,rural,1,0.01%
Denmark,Data Base Design Analyst,urban,1,0.01%
Denmark,Data Communications Software Consultant,rural,1,0.01%
Denmark,Data Communications Software Consultant,urban,3,0.04%
Denmark,Data Coordinator,urban,2,0.02%
Denmark,Data Keyer,rural,1,0.01%
Denmark,Data Management Information Technology Specialist,urban,1,0.01%
Denmark,Data Manager,urban,1,0.01%
Denmark,Data Officer,rural,1,0.01%
Denmark,Data Officer,urban,3,0.04%
Denmark,Data Operations Director,urban,1,0.01%
Denmark,Data Processing Auditor,urban,1,0.01%
Denmark,Data Processing Consultant,urban,2,0.02%
Denmark,Data Processing Manager,urban,1,0.01%
Denmark,Data Scientist,urban,1,0.01%
Denmark,Data Storage Specialist,urban,2,0.02%
Denmark,Data Systems Manager,urban,1,0.01%
Denmark,Data Transcriber,urban,1,0.01%
Denmark,Data Typist,urban,1,0.01%
Denmark,Data Warehouse Analyst,rural,1,0.01%
Denmark,Data Warehouse Architect,rural,1,0.01%
Denmark,Data Warehouse Architect,urban,1,0.01%
Denmark,Data Warehouse Developer,urban,1,0.01%
Denmark,Data Warehouse Specialist,rural,1,0.01%
Denmark,Data Warehousing Specialist,rural,1,0.01%
Denmark,Database Administration Associate,urban,1,0.01%
Denmark,Database Consultant,urban,1,0.01%
Denmark,Database Coordinator,rural,1,0.01%
Denmark,Database Coordinator,urban,1,0.01%
Denmark,Database Designer,urban,1,0.01%
Denmark,Database Development and Administration Project Manager,urban,2,0.02%
Denmark,Database Engineer,rural,1,0.01%
Denmark,Database Management System Specialist (DBMS Specialist),rural,1,0.01%
Denmark,Database Management System Specialist (DBMS Specialist),urban,1,0.01%
Denmark,Database Modeler,urban,1,0.01%
Denmark,Database Security Expert,rural,1,0.01%
Denmark,Database Security Expert,urban,1,0.01%
Denmark,Database Specialist,urban,3,0.04%
Denmark,Database Tester,urban,2,0.02%
Denmark,Databases Computer Consultant,urban,1,0.01%
Denmark,Director of Data Operations,urban,1,0.01%
Denmark,Electronic Data Interchange System Developer (EDI System Developer),urban,2,0.02%
Denmark,Electronic Data Processing Auditor (EDP Auditor),urban,1,0.01%
Denmark,Field Traffic Data Technician,urban,1,0.01%
Denmark,Health Data Analyst,urban,1,0.01%
Denmark,Internet Database Specialist,rural,1,0.01%
Denmark,Medical Data Analyst,urban,1,0.01%
Denmark,Oracle Database Administrator (Oracle DBA),urban,3,0.04%
Denmark,SQL Database Administrator,urban,1,0.01%
Denmark,Survey Data Technician,rural,1,0.01%
Denmark,Survey Data Technician,urban,1,0.01%
Denmark,Unemployed,rural,9,0.11%
Denmark,Unemployed,urban,39,0.47%
Estonia,Data Base Design Analyst,urban,1,0.01%
Estonia,Data Collection Technician,urban,1,0.01%
Estonia,Data Entry Supervisor,urban,1,0.01%
Estonia,Data Management Information Technology Specialist,urban,1,0.01%
Estonia,Data Operations Director,urban,1,0.01%
Estonia,Data Processing Supervisor,urban,1,0.01%
Estonia,Database Administration Manager,urban,1,0.01%
Estonia,Database Manager,urban,1,0.01%
Estonia,Director of Data Operations,urban,1,0.01%
Estonia,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,1,0.01%
Estonia,Unemployed,urban,8,0.1%
Finland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,1,0.01%
Finland,Automatic Data Processing Planner (ADP Planner),urban,1,0.01%
Finland,Clinical Data Management Manager (CDM Manager),urban,1,0.01%
Finland,Computer or Data Processing Systems Consultant,rural,1,0.01%
Finland,Computer or Data Processing Systems Consultant,urban,1,0.01%
Finland,Data Administrator,urban,1,0.01%
Finland,Data Analysis Assistant,urban,1,0.01%
Finland,Data Architect,rural,1,0.01%
Finland,Data Collection Technician,urban,1,0.01%
Finland,Data Communications Analyst,urban,1,0.01%
Finland,Data Coordinator,urban,3,0.04%
Finland,Data Entry Representative,urban,1,0.01%
Finland,Data Management Information Technology Specialist,urban,1,0.01%
Finland,Data Manager,urban,1,0.01%
Finland,Data Modeling Specialist,urban,2,0.02%
Finland,Data Officer,rural,1,0.01%
Finland,Data Officer,urban,2,0.02%
Finland,Data Operations Director,urban,1,0.01%
Finland,Data Processing Auditor,urban,2,0.02%
Finland,Data Processing Consultant,urban,1,0.01%
Finland,Data Processing Manager,urban,1,0.01%
Finland,Data Processing Mechanic,urban,1,0.01%
Finland,Data Processing Systems Analyst,rural,1,0.01%
Finland,Data Reduction Technician,urban,2,0.02%
Finland,Data Scientist,rural,1,0.01%
Finland,Data Security Analyst,urban,1,0.01%
Finland,Data Storage Specialist,rural,1,0.01%
Finland,Data Transcriber,urban,1,0.01%
Finland,Data Warehouse Developer,urban,1,0.01%
Finland,Data Warehousing Engineer,urban,1,0.01%
Finland,Data Warehousing Manager,rural,1,0.01%
Finland,Data Warehousing Specialist,rural,1,0.01%
Finland,Database Administration Associate,urban,1,0.01%
Finland,Database Administration Manager,urban,3,0.04%
Finland,Database Consultant,urban,1,0.01%
Finland,Database Coordinator,urban,1,0.01%
Finland,Database Development Project Manager,urban,1,0.01%
Finland,Database Development and Administration Project Manager,urban,1,0.01%
Finland,Database Manager,urban,1,0.01%
Finland,Database Marketing Analyst,urban,3,0.04%
Finland,Database Software Technician,urban,2,0.02%
Finland,Database Specialist,urban,1,0.01%
Finland,Database Tester,urban,2,0.02%
Finland,Databases Computer Consultant,rural,1,0.01%
Finland,Databases Computer Consultant,urban,1,0.01%
Finland,Databases Software Consultant,urban,1,0.01%
Finland,Datastage Developer,urban,1,0.01%
Finland,Director of Data Operations,urban,2,0.02%
Finland,Electronic Data Processing Auditor (EDP Auditor),urban,2,0.02%
Finland,Field Artillery Automated Tactical Data System Specialist,rural,1,0.01%
Finland,Geographic Information Systems Data Administrator (GIS Data Administrator),rural,1,0.01%
Finland,Geographic Information Systems Data Administrator (GIS Data Administrator),urban,1,0.01%
Finland,Geographic Information Systems Data Manager (GIS Data Manager),rural,1,0.01%
Finland,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,3,0.04%
Finland,Internet Database Specialist,rural,1,0.01%
Finland,Naval Tactical Data System--Combat Information Center Officer,urban,1,0.01%
Finland,Oracle Database Administrator (Oracle DBA),urban,2,0.02%
Finland,SCADA Technician (Supervisory Control and Data Acquisition Technician),urban,1,0.01%
Finland,Unemployed,rural,13,0.16%
Finland,Unemployed,urban,25,0.3%
France,Analytical Data Miner,urban,2,0.02%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),rural,4,0.05%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,7,0.09%
France,Automatic Data Processing Planner,rural,5,0.06%
France,Automatic Data Processing Planner,urban,8,0.1%
France,Automatic Data Processing Planner (ADP Planner),rural,2,0.02%
France,Automatic Data Processing Planner (ADP Planner),urban,7,0.09%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,5,0.06%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,6,0.07%
France,Business Database Analyst,rural,2,0.02%
France,Business Database Analyst,urban,1,0.01%
France,Clinical Data Analyst,urban,2,0.02%
France,Clinical Data Associate,urban,2,0.02%
France,Clinical Data Coordinator,rural,1,0.01%
France,Clinical Data Coordinator,urban,1,0.01%
France,Clinical Data Management Associate Director,rural,1,0.01%
France,Clinical Data Management Associate Director,urban,1,0.01%
France,Clinical Data Management Manager (CDM Manager),rural,2,0.02%
France,Clinical Data Management Manager (CDM Manager),urban,2,0.02%
France,Clinical Data Manager,urban,2,0.02%
France,Clinical Data Specialist,urban,1,0.01%
France,Clinical Trials Data Coordinator,urban,3,0.04%
